valor;bairro;obs;tipo;dormitorios;banheiros;vagasGaragem;metragem;codigo;bomInvestimento
160000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;64;CA0157-CA1Q;0
160000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;71;CA0228-CA1Q;0
165000.00;Faxinal Velho;;Casa em Santa Cruz do Sul;3;;;125.55;CA0285-CA1Q;0
165000.00;Loteamento Vila Nova;;Casa em Santa Cruz do Sul;2;1;;60;CA0015-CA1Q;0
170000.00;Esmeralda;;Casa em Santa Cruz do Sul;2;1;1;72;CA0066-CA1Q;0
170000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;61;CA0156-CA1Q;0
170000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;;60;CA0348-CA1Q;0
170000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;72;CA0368-CA1Q;0
170000.00;Country;;Casa em Santa Cruz do Sul;2;;1;70;CA0243-CA1Q;0
170000.00;Rauber;;Casa em Santa Cruz do Sul;3;1;;170;CA0041-CA1Q;0
170000.00;Arroio Grande;;Casa em Santa Cruz do Sul;;1;;56;CA0007-CA1Q;0
175000.00;Várzea;;Casa em Santa Cruz do Sul;3;;1;100;CA0082-CA1Q;0
178000.00;Renascença;;Casa em Santa Cruz do Sul;2;1;1;77;CA0325-CA1Q;0
180000.00;Santa Vitória;;Casa em Santa Cruz do Sul;3;;1;112;CA0124-CA1Q;0
180000.00;Bom Jesus;;Casa em Santa Cruz do Sul;3;;;260;CA0084-CA1Q;0
180000.00;São João;;Casa em Santa Cruz do Sul;2;1;1;98;CA0319-CA1Q;0
180000.00;Monte Verde;;Casa em Santa Cruz do Sul;2;1;;50.65;CA0286-CA1Q;0
180000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;;56;CA0037-CA1Q;0
185000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;;;74;CA0125-CA1Q;0
185000.00;Germânia;;Casa em Santa Cruz do Sul;2;1;;71.65;CA0014-CA1Q;0
185000.00;Aliança;;Casa em Santa Cruz do Sul;3;;1;126;CA0160-CA1Q;0
187000.00;São João;IPTU 431/mês;Casa em Santa Cruz do Sul;2;1;1;74;CA0323-CA1Q;0
190000.00;São João;;Casa em Santa Cruz do Sul;2;1;;60;CA0111-CA1Q;0
190000.00;São João;;Casa em Santa Cruz do Sul;2;1;;87.19;CA0289-CA1Q;0
192000.00;Schulz;;Casa em Santa Cruz do Sul;4;;1;180;CA0182-CA1Q;0
194829.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;76;CA0272-CA1Q;0
195000.00;Santo Antônio;;Casa em Santa Cruz do Sul;2;;;102;CA0327-CA1Q;0
195000.00;Santo Antônio;;Casa em Santa Cruz do Sul;2;;1;95;CA0061-CA1Q;0
195000.00;Margarida;;Casa em Santa Cruz do Sul;2;1;;80;CA0342-CA1Q;0
200000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;80.76;CA0194-CA1Q;0
207000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;;1;137;CA0328-CA1Q;0
210000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;1;1;66;CA0223-CA1Q;0
212000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;81.69;CA0292-CA1Q;0
212000.00;Rauber;;Casa em Santa Cruz do Sul;2;1;;140;CA0261-CA1Q;0
212000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;81.69;CA0292-CA1Q;0
212000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;;80;CA0345-CA1Q;0
212000.00;Loteamento Santo Antônio;;Casa em Santa Cruz do Sul;3;1;;132;CA0154-CA1Q;0
212000.00;São João;;Casa em Santa Cruz do Sul;2;1;;70;CA0067-CA1Q;0
212000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;;81.69;CA0209-CA1Q;0
212086.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;69.70;CA0270-CA1Q;0
215000.00;São João;;Casa em Santa Cruz do Sul;3;1;1;102;CA0176-CA1Q;0
215000.00;Esmeralda;;Casa em Santa Cruz do Sul;4;;1;152;CA0133-CA1Q;0
222000.00;Jardim Europa;;Casa em Santa Cruz do Sul;2;;1;74.48;CA0201-CA1Q;0
222600.00;Dona Carlota;;Casa em Santa Cruz do Sul;3;1;;150;CA0193-CA1Q;0
234000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;1;;104.79;CA0155-CA1Q;0
235000.00;João Alves;;Casa em Santa Cruz do Sul;2;;1;89;CA0101-CA1Q;0
235000.00;Castelo Branco;;Casa em Santa Cruz do Sul;2;1;1;116;CA0361-CA1Q;0
240000.00;Vila Bom Jesus;;Casa em Santa Cruz do Sul;3;1;;243;CA0012-CA1Q;0
240000.00;Aliança;;Casa em Santa Cruz do Sul;3;1;1;130;CA0253-CA1Q;0
240000.00;Rauber;;Casa em Santa Cruz do Sul;3;;;153;CA0189-CA1Q;0
Sob consulta;Avenida;;Casa em Santa Cruz do Sul;3;;1;98;CA0307-CA1Q;0
242000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;;;85;CA0062-CA1Q;0
242000.00;Universitário;;Casa em Santa Cruz do Sul;2;;1;193;CA0340-CA1Q;1
245000.00;Goiás;;Casa em Santa Cruz do Sul;3;1;;;CA0281-CA1Q;0
245000.00;Faxinal Velho;;Casa em Santa Cruz do Sul;3;;;173;CA0258-CA1Q;0
245000.00;Centro;;Casa em Santa Cruz do Sul;3;;1;100;CA0186-CA1Q;0
250000.00;Germânia;IPTU 520/mês;Casa em Santa Cruz do Sul;2;1;;102;CA0098-CA1Q;0
250000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;;1;150;CA0081-CA1Q;0
250000.00;São João;;Casa em Santa Cruz do Sul;3;;1;164;CA0282-CA1Q;0
250000.00;Aliança;;Casa em Santa Cruz do Sul;3;;;144;CA0146-CA1Q;0
250000.00;João Alves;;Casa em Santa Cruz do Sul;3;;;130;CA0097-CA1Q;0
250000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;102;CA0312-CA1Q;0
250000.00;Ana Nery;;Casa em Santa Cruz do Sul;2;;;95.12;CA0127-CA1Q;0
