valor;bairro;obs;tipo;dormitorios;banheiros;vagasGaragem;metragem;codigo
190000;São João;;Casa em Santa Cruz do Sul;2;1;;87,19;CA0289-CA1Q
192000;Schulz;;Casa em Santa Cruz do Sul;4;;1;180;CA0182-CA1Q
194829;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;76;CA0272-CA1Q
195000;Santo Antônio;;Casa em Santa Cruz do Sul;2;;;102;CA0327-CA1Q
195000;Santo Antônio;;Casa em Santa Cruz do Sul;2;;;95;CA0061-CA1Q
195000;Margarida;;Casa em Santa Cruz do Sul;2;1;;80;CA0342-CA1Q
200000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;80,76;CA0194-CA1Q
207000;Arroio Grande;;Casa em Santa Cruz do Sul;3;;1;137;CA0328-CA1Q
210000;Santo Antônio;;Casa em Santa Cruz do Sul;2;;;95;CA0380-CA1Q
210000;Arroio Grande;;Casa em Santa Cruz do Sul;3;1;1;66;CA0223-CA1Q
212000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;81,69;CA0292-CA1Q
212000;Rauber;;Casa em Santa Cruz do Sul;2;1;;140;CA0261-CA1Q
212000;Santo Antônio;;Casa em Santa Cruz do Sul;2;1;1;66,50;CA0221-CA1Q
212000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;;80;CA0345-CA1Q
212000;Loteamento Santo Antônio;;Casa em Santa Cruz do Sul;3;1;;132;CA0154-CA1Q
212000;São João;;Casa em Santa Cruz do Sul;2;1;;70;CA0067-CA1Q
212000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;;81,69;CA0209-CA1Q
212086;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;69,70;CA0270-CA1Q
215000;São João;;Casa em Santa Cruz do Sul;3;1;1;102;CA0176-CA1Q
215000;Esmeralda;;Casa em Santa Cruz do Sul;4;;1;152;CA0133-CA1Q
222000;Jardim Europa;;Casa em Santa Cruz do Sul;2;;1;74,48;CA0201-CA1Q
222600;Dona Carlota;;Casa em Santa Cruz do Sul;3;1;;150;CA0193-CA1Q
234000;Arroio Grande;;Casa em Santa Cruz do Sul;3;1;;104,79;CA0155-CA1Q
235000;João Alves;;Casa em Santa Cruz do Sul;2;;1;89;CA0101-CA1Q
235000;Castelo Branco;;Casa em Santa Cruz do Sul;2;1;1;116;CA0361-CA1Q
240000;Vila Bom Jesus;;Casa em Santa Cruz do Sul;3;1;;243;CA0012-CA1Q
240000;Aliança;;Casa em Santa Cruz do Sul;3;1;1;130;CA0253-CA1Q
240000;Rauber;;Casa em Santa Cruz do Sul;3;;;153;CA0189-CA1Q
240000;Avenida;;Casa em Santa Cruz do Sul;3;;1;98;CA0307-CA1Q
242000;Arroio Grande;;Casa em Santa Cruz do Sul;2;;;85;CA0062-CA1Q
242000;Universitário;;Casa em Santa Cruz do Sul;2;;1;93;CA0340-CA1Q
245000;Goiás;;Casa em Santa Cruz do Sul;3;1;;;CA0281-CA1Q
245000;Faxinal Velho;;Casa em Santa Cruz do Sul;3;;;173;CA0258-CA1Q
245000;Centro;;Casa em Santa Cruz do Sul;3;;1;100;CA0186-CA1Q
250000;Germânia;IPTU R$ 520/mês;Casa em Santa Cruz do Sul;2;1;;102;CA0098-CA1Q
250000;Arroio Grande;;Casa em Santa Cruz do Sul;3;;1;150;CA0081-CA1Q
250000;São João;;Casa em Santa Cruz do Sul;3;;1;164;CA0282-CA1Q
250000;Aliança;;Casa em Santa Cruz do Sul;3;;;144;CA0146-CA1Q
250000;João Alves;;Casa em Santa Cruz do Sul;3;;;130;CA0097-CA1Q
250000;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;102;CA0312-CA1Q
250000;Ana Nery;;Casa em Santa Cruz do Sul;2;;;95,12;CA0127-CA1Q
250000;Independência;;Casa em Santa Cruz do Sul;3;;;110;CA0152-CA1Q
252000;São João;;Casa em Santa Cruz do Sul;3;;;164;CA0105-CA1Q
